schemaname,tablename,indexname,indexdef
"public","compliance_event_ledger","pk_compliance_event_ledger","CREATE UNIQUE INDEX pk_compliance_event_ledger ON public.compliance_event_ledger USING btree (id)"
"public","component_instances","ix_component_instances_amo_id","CREATE INDEX ix_component_instances_amo_id ON public.component_instances USING btree (amo_id)"
"public","component_instances","ix_component_instances_ata","CREATE INDEX ix_component_instances_ata ON public.component_instances USING btree (ata)"
"public","component_instances","ix_component_instances_component_class","CREATE INDEX ix_component_instances_component_class ON public.component_instances USING btree (component_class)"
"public","component_instances","ix_component_instances_manufacturer_code","CREATE INDEX ix_component_instances_manufacturer_code ON public.component_instances USING btree (manufacturer_code)"
"public","component_instances","ix_component_instances_operator_code","CREATE INDEX ix_component_instances_operator_code ON public.component_instances USING btree (operator_code)"
"public","component_instances","ix_component_instances_part_number","CREATE INDEX ix_component_instances_part_number ON public.component_instances USING btree (part_number)"
"public","component_instances","ix_component_instances_serial_number","CREATE INDEX ix_component_instances_serial_number ON public.component_instances USING btree (serial_number)"
"public","component_instances","pk_component_instances","CREATE UNIQUE INDEX pk_component_instances ON public.component_instances USING btree (id)"
"public","component_instances","uq_component_instance_amo_pn_sn","CREATE UNIQUE INDEX uq_component_instance_amo_pn_sn ON public.component_instances USING btree (amo_id, part_number, serial_number)"
"public","crs","ix_crs_aircraft_issue_date","CREATE INDEX ix_crs_aircraft_issue_date ON public.crs USING btree (aircraft_serial_number, crs_issue_date)"
"public","crs","ix_crs_aircraft_reg","CREATE INDEX ix_crs_aircraft_reg ON public.crs USING btree (aircraft_reg)"
"public","crs","ix_crs_aircraft_serial_number","CREATE INDEX ix_crs_aircraft_serial_number ON public.crs USING btree (aircraft_serial_number)"
"public","crs","ix_crs_check_type","CREATE INDEX ix_crs_check_type ON public.crs USING btree (check_type)"
"public","crs","ix_crs_created_by","CREATE INDEX ix_crs_created_by ON public.crs USING btree (created_by_id)"
"public","crs","ix_crs_created_by_id","CREATE INDEX ix_crs_created_by_id ON public.crs USING btree (created_by_id)"
"public","crs","ix_crs_crs_issue_date","CREATE INDEX ix_crs_crs_issue_date ON public.crs USING btree (crs_issue_date)"
"public","crs","ix_crs_crs_serial","CREATE UNIQUE INDEX ix_crs_crs_serial ON public.crs USING btree (crs_serial)"
