schemaname,tablename,indexname,indexdef
"public","amp_program_items","uq_amp_program_items_template_task_number","CREATE UNIQUE INDEX uq_amp_program_items_template_task_number ON public.amp_program_items USING btree (template_code, task_number)"
"public","audit_events","ix_audit_events_amo_action","CREATE INDEX ix_audit_events_amo_action ON public.audit_events USING btree (amo_id, action)"
"public","audit_events","ix_audit_events_amo_entity","CREATE INDEX ix_audit_events_amo_entity ON public.audit_events USING btree (amo_id, entity_type, entity_id)"
"public","audit_events","ix_audit_events_amo_time","CREATE INDEX ix_audit_events_amo_time ON public.audit_events USING btree (amo_id, occurred_at)"
"public","audit_events","ix_audit_events_amo_time_desc","CREATE INDEX ix_audit_events_amo_time_desc ON public.audit_events USING btree (amo_id, occurred_at DESC)"
"public","audit_events","ix_audit_events_amo_time_id_desc","CREATE INDEX ix_audit_events_amo_time_id_desc ON public.audit_events USING btree (amo_id, occurred_at DESC, id DESC)"
"public","audit_events","pk_audit_events","CREATE UNIQUE INDEX pk_audit_events ON public.audit_events USING btree (id)"
"public","auth_capability_definitions","pk_auth_capability_definitions","CREATE UNIQUE INDEX pk_auth_capability_definitions ON public.auth_capability_definitions USING btree (id)"
"public","auth_capability_definitions","uq_auth_capability_definitions_code","CREATE UNIQUE INDEX uq_auth_capability_definitions_code ON public.auth_capability_definitions USING btree (code)"
"public","auth_postholder_assignments","pk_auth_postholder_assignments","CREATE UNIQUE INDEX pk_auth_postholder_assignments ON public.auth_postholder_assignments USING btree (id)"
"public","auth_postholder_assignments","uq_auth_postholder_assignment","CREATE UNIQUE INDEX uq_auth_postholder_assignment ON public.auth_postholder_assignments USING btree (amo_id, postholder_code, user_id)"
"public","auth_role_capability_bindings","pk_auth_role_capability_bindings","CREATE UNIQUE INDEX pk_auth_role_capability_bindings ON public.auth_role_capability_bindings USING btree (id)"
"public","auth_role_capability_bindings","uq_auth_role_capability_bindings_pair","CREATE UNIQUE INDEX uq_auth_role_capability_bindings_pair ON public.auth_role_capability_bindings USING btree (role_id, capability_id)"
"public","auth_role_definitions","pk_auth_role_definitions","CREATE UNIQUE INDEX pk_auth_role_definitions ON public.auth_role_definitions USING btree (id)"
"public","auth_role_definitions","uq_auth_role_definitions_code","CREATE UNIQUE INDEX uq_auth_role_definitions_code ON public.auth_role_definitions USING btree (code)"
"public","auth_sod_policy_rules","pk_auth_sod_policy_rules","CREATE UNIQUE INDEX pk_auth_sod_policy_rules ON public.auth_sod_policy_rules USING btree (id)"
"public","auth_sod_policy_rules","uq_auth_sod_policy_rule","CREATE UNIQUE INDEX uq_auth_sod_policy_rule ON public.auth_sod_policy_rules USING btree (amo_id, rule_code)"
"public","auth_user_role_assignments","ix_auth_user_role_assignments_amo_user","CREATE INDEX ix_auth_user_role_assignments_amo_user ON public.auth_user_role_assignments USING btree (amo_id, user_id)"
"public","auth_user_role_assignments","pk_auth_user_role_assignments","CREATE UNIQUE INDEX pk_auth_user_role_assignments ON public.auth_user_role_assignments USING btree (id)"
"public","authorisation_types","ix_authorisation_types_amo_id","CREATE INDEX ix_authorisation_types_amo_id ON public.authorisation_types USING btree (amo_id)"
"public","authorisation_types","ix_authorisation_types_is_active","CREATE INDEX ix_authorisation_types_is_active ON public.authorisation_types USING btree (is_active)"
"public","authorisation_types","pk_authorisation_types","CREATE UNIQUE INDEX pk_authorisation_types ON public.authorisation_types USING btree (id)"
"public","authorisation_types","uq_auth_types_amo_code","CREATE UNIQUE INDEX uq_auth_types_amo_code ON public.authorisation_types USING btree (amo_id, code)"
"public","base_station_aliases","ix_base_station_aliases_amo_id","CREATE INDEX ix_base_station_aliases_amo_id ON public.base_station_aliases USING btree (amo_id)"
"public","base_station_aliases","ix_base_station_aliases_base","CREATE INDEX ix_base_station_aliases_base ON public.base_station_aliases USING btree (base_station_id)"
"public","base_station_aliases","pk_base_station_aliases","CREATE UNIQUE INDEX pk_base_station_aliases ON public.base_station_aliases USING btree (id)"
"public","base_station_aliases","uq_base_station_aliases_amo_alias","CREATE UNIQUE INDEX uq_base_station_aliases_amo_alias ON public.base_station_aliases USING btree (amo_id, alias)"
